asset_slot,output_path,category,purpose,format,aspect,priority,status,approval_dependency,source_reference
IMG/accessory/leaf-chakram,assets/ui/generated/accessory/acc_leaf_chakram.png,accessory,Isolated leaf chakram with no rarity cues,transparent PNG,1:1,high,missing,no-rarity-required,
IMG/accessory/vine-blade,assets/ui/generated/accessory/acc_vine_blade.png,accessory,Isolated vine blade with no rarity cues,transparent PNG,1:1,high,missing,no-rarity-required,
IMG/accessory/spirit-lantern,assets/ui/generated/accessory/acc_spirit_lantern.png,accessory,Isolated spirit lantern with no rarity cues,transparent PNG,1:1,high,missing,no-rarity-required,
IMG/accessory/gale-boots,assets/ui/generated/accessory/acc_gale_boots.png,accessory,Isolated gale boots with no rarity cues,transparent PNG,1:1,high,missing,no-rarity-required,
IMG/accessory/thorn-guard,assets/ui/generated/accessory/acc_thorn_guard.png,accessory,Isolated thorn guard with no rarity cues,transparent PNG,1:1,high,missing,no-rarity-required,
IMG/accessory/tail-booster,assets/ui/generated/accessory/acc_tail_booster.png,accessory,Isolated tail booster with no rarity cues,transparent PNG,1:1,high,missing,no-rarity-required,
IMG/accessory/horn-crest,assets/ui/generated/accessory/acc_horn_crest.png,accessory,Isolated horn crest with no rarity cues,transparent PNG,1:1,high,missing,no-rarity-required,
IMG/accessory/shadow-orb,assets/ui/generated/accessory/acc_shadow_orb.png,accessory,Isolated shadow orb with no rarity cues,transparent PNG,1:1,high,missing,no-rarity-required,
IMG/illust/story-chapter-01,assets/ui/generated/illustration/illust_story_chapter_01.png,illustration,Story chapter key art,PNG or WebP,16:9,medium,missing,design-approval-required,
IMG/illust/event-01,assets/ui/generated/illustration/illust_event_01.png,illustration,Lobby event banner art,PNG or WebP,wide,medium,missing,design-approval-required,
IMG/illust/shop-feature,assets/ui/generated/illustration/illust_shop_feature.png,illustration,Shop featured banner art,PNG or WebP,wide,medium,missing,economy-approval-required,
IMG/illust/mvp-mouse,assets/ui/generated/illustration/illust_mvp_mouse.png,illustration,Ja-Hyun MVP hero art,transparent PNG,landscape,medium,source-approved-output-missing,approved-character-ja-hyun,assets/character/ja-hyun/concept/ja-hyun-concept-v01.png
IMG/illust/victory-duo,assets/ui/generated/illustration/illust_victory_duo.png,illustration,Ja-Hyun and Myo-Ryung victory art,transparent PNG,landscape,medium,source-approved-output-missing,approved-character-ja-hyun-and-myo-ryung,assets/character/ja-hyun/concept/ja-hyun-concept-v01.png|assets/character/myo-ryung/concept/myo-ryung-concept-v01.png
IMG/rank/bronze,assets/ui/generated/rank/rank_bronze.png,rank,Bronze rank emblem,transparent PNG,1:1,low,missing,rank-approval-required,
IMG/rank/silver,assets/ui/generated/rank/rank_silver.png,rank,Silver rank emblem,transparent PNG,1:1,low,missing,rank-approval-required,
IMG/rank/gold,assets/ui/generated/rank/rank_gold.png,rank,Gold rank emblem,transparent PNG,1:1,low,missing,rank-approval-required,
IMG/rank/platinum,assets/ui/generated/rank/rank_platinum.png,rank,Platinum rank emblem,transparent PNG,1:1,low,missing,rank-approval-required,
IMG/rank/diamond,assets/ui/generated/rank/rank_diamond.png,rank,Diamond rank emblem,transparent PNG,1:1,low,missing,rank-approval-required,
IMG/rank/master,assets/ui/generated/rank/rank_master.png,rank,Master rank emblem,transparent PNG,1:1,low,missing,rank-approval-required,
IMG/icon/story,assets/ui/generated/icon/icon_story.svg,icon,Story mode icon,SVG,1:1,low,missing,design-approval-required,
IMG/icon/solo,assets/ui/generated/icon/icon_solo.svg,icon,Solo mode icon,SVG,1:1,low,missing,design-approval-required,
IMG/icon/team,assets/ui/generated/icon/icon_team.svg,icon,Team mode icon,SVG,1:1,low,missing,design-approval-required,
IMG/icon/ai,assets/ui/generated/icon/icon_ai.svg,icon,AI battle icon,SVG,1:1,low,missing,design-approval-required,
IMG/icon/practice,assets/ui/generated/icon/icon_training.svg,icon,Practice mode icon,SVG,1:1,low,missing,design-approval-required,
IMG/icon/character,assets/ui/generated/icon/icon_character.svg,icon,Character navigation icon,SVG,1:1,low,missing,design-approval-required,
IMG/icon/accessory,assets/ui/generated/icon/icon_accessory.svg,icon,Accessory navigation icon,SVG,1:1,low,missing,no-rarity-required,
IMG/icon/shop,assets/ui/generated/icon/icon_shop.svg,icon,Shop navigation icon,SVG,1:1,low,missing,economy-approval-required,
IMG/icon/social,assets/ui/generated/icon/icon_social.svg,icon,Social navigation icon,SVG,1:1,low,missing,social-approval-required,
IMG/icon/mission,assets/ui/generated/icon/icon_mission.svg,icon,Mission navigation icon,SVG,1:1,low,missing,progression-approval-required,
IMG/fx/leaf-corner,assets/ui/generated/fx/fx_leaf_corner.png,fx,Decorative leaf corner overlay,transparent PNG,free,low,missing,design-approval-required,
IMG/fx/light-particles,assets/ui/generated/fx/fx_light_particles.png,fx,Light particle overlay,transparent PNG,free,low,missing,design-approval-required,
IMG/fx/victory-rays,assets/ui/generated/fx/fx_victory_rays.png,fx,Victory ray overlay,transparent PNG,free,low,missing,design-approval-required,
IMG/fx/match-ring,assets/ui/generated/fx/fx_match_ring.png,fx,Match found countdown ring,transparent PNG,1:1,low,missing,phase-7-online,
